Name,Herbaceous vegetation,Urban / built up,Bare / sparse vegetation,Permanent water bodies,Herbaceous wetland,Closed forest,Closed forest 2,Open forest,Open forest 2,Unknown,Shrubs,agriculture,Oceans,Snow and ice,Closed forest 3,Open forest 3,Forest
Cauca,29083588.971362308,171696.53922522347,0.0,351140.8430058233,35457.41661225195,64775398.24895723,6499781.985847736,6034171.719460026,3216157.833717567,158464.57270025715,208673.12535813748,2913554.4568968955,501553.817246572,50360.46960994655,0.0,0.0,0.0
Cesar,40085676.39897289,377995.60345707997,117219.33037828708,1651375.8284006356,1167766.022741583,36358640.502465814,1693482.0970273586,5923588.996281347,11157049.655947873,0.0,76865.13467428662,15356711.933232829,0.0,0.0,19216.283668571654,14412.21275142874,55166389.74814239
Choco,1653777.2199065192,61265.01921445208,0.0,958754.8708321182,6017319.043630471,93029699.78078064,9461322.9807978,9981.270546496386,1233739.3593866625,280532.8721819456,62826.71460608076,4946.985402053603,1225833.8827147528,0.0,0.0,0.0,0.0
Cordoba,54390962.46024605,360270.9039896452,0.0,682894.01316017,1868049.385376167,21699103.811944053,5697255.79326921,8897.300907206383,16037070.862854548,4448.650453603192,40037.85408242873,12996322.326532468,214686.63718447418,0.0,0.0,0.0,0.0
Cundinamarca,44976086.51987426,2403095.585068521,0.0,317104.6839765294,75261.38823637784,31830352.517394613,5311241.819078833,8248601.236391642,14012854.902284786,44406.20389588249,190977.3514969607,6590017.792301586,0.0,0.0,0.0,0.0,0.0
Guainia,3602205.8376846234,8394.393228121124,241.65677474894147,482410.5162869792,542099.7396499676,108775043.48232101,464737.77478626027,1621.6441463415808,69730.69829268799,0.0,53514.25682927217,0.0,0.0,0.0,0.0,0.0,0.0
Guajira,23915540.348330528,300030.0422452456,4417931.764224202,723393.8697868064,50452.89349359406,21552760.829165958,5319820.171905446,776372.4387656621,5850676.748099758,0.0,47135246.99776943,3509314.957050222,433001.8051933211,15457.133969803548,0.0,0.0,0.0
Guaviare,5654811.133086708,16274.789206629212,1372.1881095785411,78972.6168413836,8991.023252878,106916980.37997742,143401.63528880395,227184.88835155882,925564.8134242654,0.0,26446.532460772465,0.0,0.0,0.0,0.0,0.0,0.0
Huila,31928578.569395736,423120.9276439695,0.0,300638.5538522941,72375.94814962635,50414967.69310501,7181113.192681167,5024397.269283111,16652472.112345021,41176.78377381457,1359881.842065649,601277.1077045882,0.0,0.0,0.0,0.0,0.0
Magdalena,50905437.343723,548687.8529509469,288474.06735971454,2481307.537603037,2949246.1366919638,28971387.958272934,3202433.993505574,3786016.640357631,14126109.292797685,0.0,1148103.3030929642,3039937.3733368004,2388169.9469269933,69867.87113121986,64877.308907561295,29943.373341951366,50180768.56718333
Meta,57413154.9459838,91361.42697743827,8363.124377491795,220211.64846589125,97530.00941220114,45447049.24626394,2062179.4165236228,1797075.6370165192,6627272.829047724,47138.55340812063,17198.360615003287,171464.80190825302,0.0,0.0,0.0,0.0,0.0
Narino,15120699.314241426,159011.01696506777,10635.026051606648,1507949.3801539508,1094504.053650969,75369414.78211305,9608405.438753061,1857167.4905021333,2202868.3961561234,694905.1140073332,617290.2768228627,3729015.487553937,2028134.2230284852,0.0,0.0,0.0,0.0
Norte De Santander,27010433.674938664,484796.19541558565,0.0,0.0,58406.88050599204,67225575.06097864,2784443.048435986,7203458.000758132,7056181.0432469435,227710.4851099624,56402.72284157074,1892592.8877685105,0.0,0.0,0.0,0.0,0.0
Putumayo,3106317.679021288,133510.63794990393,0.0,264187.36765118537,23771.2698486423,104713655.5519285,2615697.3134785253,547056.1567834215,1293940.1333611554,273565.36665814,628941.1898620386,399357.3334571907,0.0,0.0,0.0,0.0,0.0
Quindio,8671169.458546733,1990978.0153422938,0.0,0.0,0.0,51808006.619998656,2000411.5134300983,13571234.316641694,35438082.88417238,0.0,0.0,520117.1918681368,0.0,0.0,0.0,0.0,0.0
Risaralda,7040336.7729624715,1586653.1033697403,0.0,0.0,105384.13764130701,76229168.68026759,5022437.814420801,11008387.744419262,11746949.454389913,506520.23920143733,27818.794097860544,726343.2592296295,0.0,0.0,0.0,0.0,0.0
San Andres Y Providencia,1448043.9771574957,7757378.449058013,0.0,4916048.4602657845,0.0,33457116.93440786,0.0,3102951.379623205,23625020.013876285,0.0,0.0,0.0,39693440.78561135,0.0,0.0,0.0,0.0
Santander,37148504.14021453,481294.94677175186,0.0,523383.83900560206,2075507.593999934,46676205.306109905,3879557.0250258218,11611499.215464141,10258650.232809728,0.0,121752.50194150886,1223645.198657068,0.0,0.0,0.0,0.0,0.0
Sucre,73381521.89611351,632336.5236724286,0.0,1402236.7864827174,9646326.717570128,5384014.008115178,1078517.340946012,577295.0042852941,11467423.858282737,0.0,102151.29143900493,6267041.818777918,527461.1977950506,0.0,1200297.7040732957,2333375.8524467293,22040923.768149246
Tolima,44408789.69849059,426939.70888118545,57763.43056888305,149656.36521245254,28881.715284441525,37203745.58192714,4082213.3706677244,10465298.971786432,14594723.564628266,96725.43079573747,88079.7931484994,2272028.269042732,0.0,125154.09956591323,0.0,0.0,0.0
Valle Del Cauca,14574290.991288422,1449095.985545051,0.0,496539.73581534275,59462.116409594855,58817312.18534065,9711263.869272577,2474982.8331657955,9132535.3436373,509827.0237086902,48138.86202084492,15290381.615296245,1436169.4384994868,0.0,0.0,0.0,0.0
Vaupes,545701.5330875213,4235.265733422143,0.0,530321.7053653687,11036.604234741233,112766499.61624733,137646.13633621967,0.0,4559.138995389719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vichada,61869435.32275529,8263.15367971634,21909.61192831568,823194.8019898344,507203.57713716495,50369339.99580298,136258.8789780767,33157.6548080143,197878.02127507157,0.0,15624.71326090431,17734.26838464545,0.0,0.0,0.0,0.0,0.0
