Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cauca,6411.986707310002,3514.766537359524,2578.054467385948,6618.363181954201,5389.561842254902,4719.0677191037175,4025.2655347428636,6431.1322202027095,7284.958596106747,3366.717548472518,6286.528410709612,9668.035126601757,3097.6077662637626,3930.3807478680537,2981.156166531504,5317.851534192469,8583.103507609765,3990.989767427596,6200.155459569068,5885.279357013466,5244.005871636461
Cesar,5938.437005748507,5649.479935675599,10736.918391660754,5173.312704587882,5085.2088320936255,5454.378535144833,12028.559935254578,4343.504826690171,6709.0232980374685,4330.697061307349,3993.896320542089,5852.4354505181045,3702.0636134134443,5624.099610106202,4888.269377426183,10958.000660772228,13590.033583290322,9333.148633527617,6858.618383719388,7073.129136941708,6405.6148139721445
Choco,2440.775821058924,2038.4686717918005,1057.736407638155,5837.0702187764255,2987.400530018263,2628.2284204944085,4202.800845378395,4116.546114633933,5664.460175391774,5985.731811456323,3512.3109354786843,5383.875085812391,2743.70402301832,4119.449886977945,3031.840722091711,18020.99896890206,11646.973791249186,5248.659614235098,7926.499216312064,6188.727797969684,4990.692993885905
Cordoba,12538.99716356953,4712.337854783097,2825.5422833466655,7545.775386714418,5822.019346854942,4416.318023555957,4942.237661574563,8404.750544843582,6711.959598739326,6255.435664084928,6459.84802412825,8389.951511825404,3229.908168020882,5251.55891369952,2179.093673964413,7158.197735300413,9595.71163357343,5399.76210553079,5863.4775200326,6306.800782652133,5055.460805847982
Cundinamarca,6183.741568645379,3233.781924648007,1490.4986571091836,5568.94651378102,2867.6916130646114,3573.3979467393824,5400.806962903335,3412.585725270039,7150.483045045356,5232.991299620289,2962.6330683783563,5052.480975046338,1848.164209460976,2504.303004258076,1038.3431773430561,1533.0863724461458,2947.37381493772,2323.514728457558,1779.8560719113816,1574.7788089086914,1721.5275404161641
Guainia,1409.2994086403044,839.3588258368999,1201.1501294154748,2060.0764453269567,1269.1342218076938,694.2088763141468,2124.158566299929,1438.3464308891746,975.0953970967373,1502.0612167860086,855.4526524983963,1303.9159314028516,1747.8490237926528,1647.6872803949573,1186.9003296022186,3733.5743912546204,2459.040061522983,3147.1792479883056,8230.062787483435,2834.3748496359426,1741.5359079333734
Guajira,9871.63771926638,2269.7370158652634,7737.400197042978,1897.9923110502832,3279.4995199502146,4136.189363250973,4308.618322455529,3602.8436024522007,3975.436693745261,2263.281824144335,3178.768995696088,4645.3906613489735,2873.564794066617,5106.996631133196,3528.2294731512334,3419.9970428752827,3490.3391137992116,4204.074363150492,3575.5583452234614,3153.3126469693293,2622.8137202175008
Guaviare,13805.271614852367,11189.092778656128,6089.125304036386,18193.048360023167,6386.147655194715,17534.923236083196,11514.91374382195,16036.097110339499,14771.054501929406,17792.3734624382,16645.194760518345,12799.452854162217,9000.97338657545,12224.815043742701,9384.228481735076,16844.765247058534,39781.44428657538,45324.44437597812,30105.42181558031,34549.56558985146,28244.004600082317
Huila,3123.088740550657,4165.880069094263,1433.0745997018134,2372.8889578134576,4116.123409941862,3435.586936066655,5552.398549716056,3946.6567125605334,5762.585129807728,3861.842609990187,3514.535587091017,6888.659648241136,1442.9968052222637,2546.2510601977538,1444.09262276214,3175.9017293404618,7196.613186849006,3977.664171769804,4233.78189510455,2852.0650413203703,1743.076344507602
Magdalena,8045.336788405043,3870.0331863596725,10113.849863355737,6038.487760471959,3468.2072354456277,4592.994531500509,4707.811710543669,7514.587803062767,7076.66259522322,3242.34225457091,2963.9285645978616,5989.344192591074,2882.6807676085236,6968.655282259643,6036.958627675399,11818.550307121346,15953.426796909444,10399.03401627214,8104.318663526443,11013.587029173104,9047.843026210436
Meta,25768.140009235605,21508.062547209327,10386.584990465568,38003.605481170634,21961.06343776413,26422.464270932647,50021.79854910827,23332.25981082447,21323.991209875654,22205.093209883435,26508.72370885185,16635.00038778062,13665.638118925017,22189.686056591272,12243.036791018283,26409.89835638743,46048.42093820866,60427.31359325554,36116.56637277114,56956.181397480825,44775.777938725325
Narino,12970.3726927889,7008.4000930536,2528.979363758449,12227.161741699123,2475.2177347784786,8368.241861988863,4563.081823296306,5596.224161798286,8090.940636845178,4078.5667021608833,2836.761362853789,8019.428813350471,2832.889054386849,3476.547515894656,3889.635464729147,6257.863990034036,8778.424052886894,2303.5980771207446,3247.9118174605064,5529.929544098595,6026.580306668485
Norte De Santander,11114.027381693211,5133.161852569844,4215.679918636115,6560.397779019009,4742.782359296014,4503.05185992683,7521.3012426841115,7149.077776468003,10862.025998676112,10028.749302233551,6013.593704588695,14324.522488944334,6604.491837861137,13636.461791862983,10354.197215085329,25100.053243133712,18685.74267617506,18371.280286880123,17476.262081008615,16668.773918107097,19409.022995651474
Putumayo,9771.403665056081,14064.35572647169,4186.729244459109,9493.7020640687,9660.76674698235,4942.4925779611385,12222.568942443082,10400.451585455445,8337.055757400836,7672.265711696491,9255.68120912533,11933.738590261952,13587.91752641441,15066.931133209015,12930.392926281545,21464.33483901473,25778.076780484775,24179.68152758009,23398.78636428445,29389.978228758027,22427.7969340474
Quindio,1049.3142302195351,951.6093006486722,293.9344188602223,545.397790181454,801.6664155747598,920.3225089644847,377.7428996783328,358.2708970531748,613.5042551309025,727.721946882827,1078.503052978707,1210.3187885344144,197.98307842581954,422.14461652492145,153.8424483947754,552.0519431851257,1406.014175224059,485.46343971574385,754.8164894026932,262.14231518621705,241.60901394995602
Risaralda,983.7202541958919,1023.7607334216068,366.200296450698,1079.0305390648698,1009.634724402047,1127.7854578484032,625.489414319039,647.2695129918955,1006.4650336778587,770.6343471374272,1854.65189084353,1093.1698570158117,504.42353208146636,605.2108643707635,284.0823336773084,1102.5242541956045,2451.817569059389,1362.5398902360266,1283.649759770891,963.798165495079,652.9180779334454
San Andres Y Providencia,11.09177461251053,,17.27219898071289,,,1.7418196594238282,6.364417065429688,,,,,,,3.7499519165039064,,,,0.5239016418457032,0.17463165283203125,113.59198792018519,28.323121026731005
Santander,13919.810407971865,10593.93026400228,9817.546858174666,16600.25623037277,12707.935702848905,15485.810350856913,18250.86825551887,10471.27004044125,15939.085920810596,11445.246988239363,7272.970068381921,12385.62188267595,5040.215603680947,8091.281560763058,5430.054280707984,7946.113427710128,17501.198411294878,10005.366629171645,7660.910999605115,7276.501927803645,8185.890613524434
