Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,65.0620056635094,69.3264937779044,68.2807258966199,68.4271574389112,68.8345835588895,67.101999124471,68.5128137903913,69.5156366987272,69.7711128650355,69.8669666438423,68.7827886605381,68.1543593904968,66.6317397948046,67.4112437732268,68.3751444440303,72.103295956507,73.4450900085723,73.8428450260511,76.2339147841006,75.6305525758451,74.9553933495539,67.6329528897523,72.2451308384554,77.4203675529474,75.2879483097668,81.8481619851483,70.5615962336061,68.5613738111678,78.7936107608239,74.3744927536232,73.1964458358271,75.4140579903201,77.7250166519843,80.607011404091,79.0730476587798,79.4978145633777,80.4813124728379,82.9543423075548,71.8297782988329,67.9876817447496,80.1213015326613,76.3290448843402,70.9666273143482,70.9061345580579,64.9593578393729,..,..,..,..,..,..
Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,9.21784981935358,9.7463664861784,8.69527823170207,7.66316115063409,17.4387131699018,18.2182985553772,18.0966113914924,18.3032886022001,18.9529071297027,19.2800547784408,19.699667902007,21.0260571634659,24.3658589827549,20.7559104926069,17.9707011592798,15.6472986748216,15.058577007334,14.4129407488186,12.1103803259937,12.3745083477735,12.9386320627197,14.9981787275376,14.1212168365362,11.9466782583496,12.9974716733777,12.0866196208662,20.8608900347495,23.8857830144553,15.2982111998505,19.1373913043478,19.9921734726762,18.1630478220328,14.6666380180916,14.1052716265412,14.6989292170769,13.7208220961592,11.8951904968854,10.3060531302513,19.1464417575111,20.1433764135703,12.5268420621261,14.4277968494337,16.5553283998963,15.2686454336695,19.3430604054074,..,..,..,..,..,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,12.6061908016795,8.34045787023843,10.5788251483616,11.7151252706465,1.89467171912458,1.96264409747556,1.92698433505932,1.64142141335023,1.85214417258616,1.83409957937983,2.20436059103817,1.36597241006221,1.04344029687841,1.0397722780106,0.957990084616245,1.05334692490656,0.942946947328317,1.02084090633709,0.780669144981413,1.04244024534478,1.09759394430927,2.16427877610491,1.34339583495423,1.00944239175059,0.594624964884352,0.601909506019095,0.62773231700482,0.400917655968105,0.275559291952735,0.234202898550725,0.232493899912527,0.208694107721682,0.253539889559743,0.229288601942919,0.226473568150665,0.219473635264577,0.273431841228451,0.269941721191319,0.563439430261247,0.844776521270867,0.237685435620031,0.550226186274824,0.453511474560166,0.514897804909358,0.567976005911587,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,1.46160389761039,1.47380709178462,1.25843874942649,1.1864309163163,1.13654301499605,1.11024161205126,1.02035905087356,1.04138490668109,1.02161100196464,1.00814422392662,0.995265963395087,0.90383961943595,0.850874686478077,0.830001211680601,0.783528738919073,0.75363753885084,0.727223573938902,1.03205439533754,1.00884359034207,1.07223067449105,1.11667759153479,1.14385867810525,1.08283824683331,1.18493440541684,1.06720844425762,1.15014492753623,1.14175222135261,1.09009369033347,1.0635783502718,1.04386652989803,1.09660885630848,1.10294801450758,1.05207880631609,1.05652686903357,1.04813732523754,4.13301023155627,3.34398819768871,3.22114921877506,3.03204814420225,3.13217612072285,3.27745338105105,..,..,..,..,..,..
"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,34.9379943364906,30.6735062220956,31.7192741033801,31.5728425610888,29.7038125435001,31.4241937837443,30.2287474601822,29.2979323849565,29.0923441199684,29.0227917441064,30.1968522885883,30.8042557028221,32.3466492032307,31.5806120028465,30.6295895925746,26.9928644240571,25.7040353049497,25.3271537622683,22.9825564769803,23.6158098853041,24.3173830765072,31.3349927149101,26.7460255712026,21.5074017725615,23.5953740986984,17.0079793367465,28.3555655195606,30.2536917834154,20.1391807949185,24.4753623188406,25.6618019428203,23.4958483193464,21.2114049977439,18.349122066011,19.8303434849117,19.3992374221148,18.466608720846,15.9891308234116,27.1220843759296,27.8793080236941,16.53471026965,20.4498058968847,26.0013245414495,25.9616893212192,31.763188779576,..,..,..,..,..,..
"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,189000000,202000000,192000000,206000000,216000000,227000000,212000000,231000000,234000000,255000000,267000000,266000000,268000000,274000000,274000000,274000000,269000000,340000000,389000000,444000000,477000000,496000000,483000000,532000000,457000000,496000000,496000000,491000000,495000000,519000000,552000000,593000000,581000000,591000000,599000000,2456000000,2040000000,2008000000,2106000000,2196000000,2262000000,..,..,..,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,649581.4,647358.76,645136.12,642913.48,640690.84,638468.2,636245.56,634022.92,631800.28,629577.64,627355,625427.29,623499.58,621571.87,619644.16,617716.45,615788.74,613861.03,611933.32,610005.61,608077.9,606731.64,605385.38,604039.12,602692.86,601346.6,599594.9,597397.7,595404.8,593412,591419.1,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,63.938178141583,68.049177592941,70.7062760823426,72.3807758925719,66.9982199507526,67.9960900217112,67.99908011361,66.0267494170903,63.9786433077638,66.3336180199031,67.0320516283916,66.7691037875097,67.7744744028988,67.3508896649654,66.487727613767,67.8256132793429,67.7026412188831,67.4781752995146,66.5954312809189,67.3796645736493,68.2212138943422,70.8086771307225,70.361321270283,69.1807473322571,69.5103220656371,69.9040797625358,75.8506781474481,77.2616621371885,73.5290672778214,76.0141392594484,76.676128274349,74.9478565303415,73.97276515168,74.9256405985985,75.922871130917,75.2795821410578,74.4102216684992,74.9778163959633,77.3071269847468,76.9531038680444,75.7184354780395,75.5498801460362,76.7621271757288,76.685692626894,..,..,..,..,..,..,..
Methane emissions (% change from 1990),EN.ATM.METH.ZG,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.57425316999785,0.946820450366537,3.67106844648215,1.47873534398357,4.64913118577421,7.35208666650746,8.02628332179161,8.07284826197354,3.64360707150306,9.68331860766849,8.52775190836656,10.2797080338451,11.9218186594073,14.4214007689185,14.9107306317708,18.7827845038247,22.5806130652466,25.4746041980084,33.7448559670782,32.6225215114104,33.9487467265245,35.2749719416386,..,..,..,..,..,..,..,..,..
